name,gender,wikidata,type
"Rue Henri Baron",,,way
"Rue Henri Bles",,,way
"Rue Henri Defêchereux",,,way
"Rue Henri Dumoulin",,,way
"Rue Henri Dunant",,,way
"Rue Henri Forir",,,way
"Rue Henri Koch",,,way
"Rue Henri Maus",,,way
"Rue Henri Nottet",,,way
"Rue Henri Pirenne",,,way
"Rue Henri Vieuxtemps",,,way
"Rue Henri de Dinant",,,way
"Rue Herman Reuleaux",,,way
"Rue Hézelon",,,way
"Rue Hippolyte Cornet",,,way
"Rue Hocheporte",,,way
"Rue Hongrée",,,way
"Rue Hors-Château",,,way
"Rue Hubble",,,way
"Rue Hubert Coune",,,way
"Rue Hubert Désamoré",,,way
"Rue Hubert Goffin",,,way
"Rue Hullos",,,way
"Rue Isi Collin",,,way
"Rue J.F. Kennedy",,,way
"Rue Jackie Jansens",,,way
"Rue Jacob Makoy",,,way
"Rue Jacques Brel",,,way
"Rue Jacques Lemaire",,,way
"Rue Jacquet",,,way
"Rue Jambe de Bois",,,way
"Rue Jamin Saint-Roch",,,way
"Rue Jean Allard",,,way
"Rue Jean Bury",,,way
"Rue Jean Delvoye",,,way
"Rue Jean Dister",,,way
"Rue Jean Gol",,,way
"Rue Jean Haust",,,way
"Rue Jean Hermesse",,,way
"Rue Jean Jaurès",,,way
"Rue Jean Jaurès - Rue Hubert Goffin",,,way
"Rue Jean Lejeune",,,way
"Rue Jean Lemasuy",,,way
"Rue Jean Nihoul",,,way
"Rue Jean Ramey",,,way
"Rue Jean Riga",,,way
"Rue Jean Somers",,,way
"Rue Jean Volders",,,way
"Rue Jean Warroquiers",,,way
"Rue Jean d'Outremeuse",,,way
"Rue Jean-Baptiste Cools",,,way
"Rue Jean-Baptiste Juppin",,,way
"Rue Jean-Bosly",,,way
"Rue Jean-Etienne",,,way
"Rue Jean-Mathieu Nisen",,,way
"Rue Jeanne Renotte",,,way
"Rue Jobette",,,way
"Rue Joffre",,,way
"Rue John Fitzgerald Kennedy",,,way
"Rue Joiret",,,way
"Rue Jolivet",,,way
"Rue Jondry",,,way
"Rue Jonfosse",,,way
"Rue Joseph Deflandre",,,way
"Rue Joseph Dejardin",,,way
"Rue Joseph Delboeuf",,,way
"Rue Joseph Demoulin",,,way
"Rue Joseph Donneaux",,,way
"Rue Joseph Halkin",,,way
"Rue Joseph Henrion",,,way
"Rue Joseph Hodeige",,,way
"Rue Joseph Jaspar",,,way
"Rue Joseph Joset",,,way
"Rue Joseph Lambermont",,,way
"Rue Joseph Lemaire",,,way
"Rue Joseph Marcotty",,,way
"Rue Joseph Pirotte",,,way
"Rue Joseph Raskin",,,way
"Rue Joseph Rémy",,,way
"Rue Joseph Rulot",,,way
"Rue Joseph Truffaut",,,way
"Rue Joseph Vrindts",,,way
"Rue Joseph Willem",,,way
"Rue Joseph Wouters",,,way
"Rue Jules Boursier",,,way
"Rue Jules Claskin",,,way
"Rue Jules Cralle",,,way
"Rue Jules Destrée",,,way
"Rue Jules Verne",,,way
"Rue Jules de Laminne",,,way
"Rue Julien Lahaut",,,way
"Rue Julien d'Andrimont",,,way
"Rue Justin Lenders",,,way
"Rue Kepler",,,way
"Rue Kinet",,,way
"Rue Kipelle",,,way
"Rue Lacroix",,,way
"Rue Ladjet",,,way
"Rue Lahaut",,,way
"Rue Lairesse",,,way
"Rue Laixhay",,,way
"Rue Lamarche",,,way
"Rue Lamarck",,,way
"Rue Lambert Grisard",,,way
"Rue Lambert Lombard",,,way
"Rue Lambert Suavius",,,way
"Rue Lambert-le-Bègue",,,way
"Rue Lambinon",,,way
"Rue Laport",,,way
"Rue Large",,,way
